Parent Folder,Filename,Type,Public URL,Finished
38_smart_2-MLC-female,38_smart_2-MLC-female_scene_3_lipsync.mp4,video,https://s3.us-east-2.amazonaws.com/meli-ai.filmmaker/MP-Sellers/Outputs 28-1/38_smart_2-MLC-female/38_smart_2-MLC-female_scene_3_lipsync.mp4,Yes
38_smart_2-MLC-female,38_smart_2-MLC-female_scene_1.mp4,video,https://s3.us-east-2.amazonaws.com/meli-ai.filmmaker/MP-Sellers/Outputs 28-1/38_smart_2-MLC-female/38_smart_2-MLC-female_scene_1.mp4,
38_smart_2-MLC-female,38_smart_2-MLC-female_scene_3.mp4,video,https://s3.us-east-2.amazonaws.com/meli-ai.filmmaker/MP-Sellers/Outputs 28-1/38_smart_2-MLC-female/38_smart_2-MLC-female_scene_3.mp4,
38_smart_2-MLC-female,38_smart_2-MLC-female_scene_2.mp4,video,https://s3.us-east-2.amazonaws.com/meli-ai.filmmaker/MP-Sellers/Outputs 28-1/38_smart_2-MLC-female/38_smart_2-MLC-female_scene_2.mp4,
38_smart_2-MLC-female,scene_2_body.mp3,audio,https://s3.us-east-2.amazonaws.com/meli-ai.filmmaker/MP-Sellers/Outputs 28-1/38_smart_2-MLC-female/scene_2_body.mp3,
689_smart_2-MLM-female,689_smart_2-MLM-female_scene_2_lipsync.mp4,video,https://s3.us-east-2.amazonaws.com/meli-ai.filmmaker/MP-Sellers/Outputs 28-1/689_smart_2-MLM-female/689_smart_2-MLM-female_scene_2_lipsync.mp4,Yes
689_smart_2-MLM-female,scene_2_testimonial.mp3,audio,https://s3.us-east-2.amazonaws.com/meli-ai.filmmaker/MP-Sellers/Outputs 28-1/689_smart_2-MLM-female/scene_2_testimonial.mp3,
689_smart_2-MLM-female,689_smart_2-MLM-female_scene_1.mp4,video,https://s3.us-east-2.amazonaws.com/meli-ai.filmmaker/MP-Sellers/Outputs 28-1/689_smart_2-MLM-female/689_smart_2-MLM-female_scene_1.mp4,
689_smart_2-MLM-female,689_smart_2-MLM-female_scene_2.mp4,video,https://s3.us-east-2.amazonaws.com/meli-ai.filmmaker/MP-Sellers/Outputs 28-1/689_smart_2-MLM-female/689_smart_2-MLM-female_scene_2.mp4,
689_smart_2-MLM-female,scene_3_cta.mp3,audio,https://s3.us-east-2.amazonaws.com/meli-ai.filmmaker/MP-Sellers/Outputs 28-1/689_smart_2-MLM-female/scene_3_cta.mp3,
689_smart_2-MLM-female,689_smart_2-MLM-female_scene_1_nobg.png,image,https://s3.us-east-2.amazonaws.com/meli-ai.filmmaker/MP-Sellers/Outputs 28-1/689_smart_2-MLM-female/689_smart_2-MLM-female_scene_1_nobg.png,
689_smart_2-MLM-female,scene_1_hook.mp3,audio,https://s3.us-east-2.amazonaws.com/meli-ai.filmmaker/MP-Sellers/Outputs 28-1/689_smart_2-MLM-female/scene_1_hook.mp3,
689_smart_2-MLM-female,689_smart_2-MLM-female_scene_1_lipsync.mp4,video,https://s3.us-east-2.amazonaws.com/meli-ai.filmmaker/MP-Sellers/Outputs 28-1/689_smart_2-MLM-female/689_smart_2-MLM-female_scene_1_lipsync.mp4,Yes
689_smart_2-MLM-female,689_smart_2-MLM-female_scene_3.png,image,https://s3.us-east-2.amazonaws.com/meli-ai.filmmaker/MP-Sellers/Outputs 28-1/689_smart_2-MLM-female/689_smart_2-MLM-female_scene_3.png,
689_smart_2-MLM-female,689_smart_2-MLM-female_scene_2.png,image,https://s3.us-east-2.amazonaws.com/meli-ai.filmmaker/MP-Sellers/Outputs 28-1/689_smart_2-MLM-female/689_smart_2-MLM-female_scene_2.png,
689_smart_2-MLM-female,689_smart_2-MLM-female_scene_1.png,image,https://s3.us-east-2.amazonaws.com/meli-ai.filmmaker/MP-Sellers/Outputs 28-1/689_smart_2-MLM-female/689_smart_2-MLM-female_scene_1.png,
505_tap-MLB-male,scene_2_testimonial.mp3,audio,https://s3.us-east-2.amazonaws.com/meli-ai.filmmaker/MP-Sellers/Outputs 28-1/505_tap-MLB-male/scene_2_testimonial.mp3,
505_tap-MLB-male,scene_3_close.mp3,audio,https://s3.us-east-2.amazonaws.com/meli-ai.filmmaker/MP-Sellers/Outputs 28-1/505_tap-MLB-male/scene_3_close.mp3,
505_tap-MLB-male,505_tap-MLB-male_scene_3_lipsync.mp4,video,https://s3.us-east-2.amazonaws.com/meli-ai.filmmaker/MP-Sellers/Outputs 28-1/505_tap-MLB-male/505_tap-MLB-male_scene_3_lipsync.mp4,Yes
505_tap-MLB-male,505_tap-MLB-male_scene_1_nobg.png,image,https://s3.us-east-2.amazonaws.com/meli-ai.filmmaker/MP-Sellers/Outputs 28-1/505_tap-MLB-male/505_tap-MLB-male_scene_1_nobg.png,
505_tap-MLB-male,505_tap-MLB-male_scene_3.mp4,video,https://s3.us-east-2.amazonaws.com/meli-ai.filmmaker/MP-Sellers/Outputs 28-1/505_tap-MLB-male/505_tap-MLB-male_scene_3.mp4,
